iter	Passed	Remaining
0	79	79670
1	88	44085
2	95	31837
3	104	26106
4	111	22262
5	118	19680
6	124	17723
7	130	16170
8	136	15006
9	141	14038
10	145	13126
11	150	12384
12	154	11730
13	158	11129
14	161	10603
15	165	10159
16	168	9750
17	172	9402
18	176	9130
19	182	8953
20	187	8758
21	193	8600
22	200	8498
23	207	8440
24	214	8348
25	221	8299
26	230	8289
27	240	8350
28	250	8385
29	257	8313
30	262	8191
31	268	8129
32	276	8093
33	283	8067
34	289	7986
35	294	7879
36	298	7763
37	304	7711
38	308	7610
39	314	7547
40	320	7489
41	325	7417
42	331	7382
43	336	7313
44	340	7227
45	346	7187
46	353	7173
47	358	7116
48	364	7080
49	370	7039
50	375	6990
51	382	6966
52	387	6929
53	392	6877
54	398	6849
55	405	6829
56	410	6788
57	416	6762
58	421	6729
59	429	6736
60	436	6726
61	442	6696
62	447	6662
63	454	6641
64	460	6620
65	465	6581
66	470	6558
67	478	6563
68	485	6554
69	493	6552
70	499	6537
71	504	6498
72	510	6484
73	516	6462
74	521	6430
75	525	6386
76	531	6375
77	537	6349
78	542	6328
79	547	6300
80	552	6273
81	558	6250
82	564	6232
83	569	6210
84	574	6189
85	580	6174
86	587	6163
87	593	6148
88	597	6117
89	604	6109
90	610	6094
91	614	6067
92	620	6052
93	624	6018
94	629	5999
95	635	5988
96	641	5967
97	646	5947
98	652	5934
99	658	5922
100	665	5922
101	672	5919
102	678	5906
103	684	5898
104	691	5890
105	696	5872
106	701	5858
107	707	5843
108	712	5822
109	718	5814
110	725	5811
111	730	5794
112	736	5779
113	741	5766
114	747	5755
115	753	5739
116	757	5716
117	763	5709
118	769	5695
119	774	5680
120	781	5678
121	784	5644
122	789	5631
123	795	5622
124	801	5610
125	806	5595
126	812	5586
127	818	5574
128	823	5560
129	829	5552
130	835	5542
131	840	5525
132	846	5521
133	852	5510
134	857	5494
135	863	5483
136	868	5471
137	874	5461
138	880	5451
139	885	5438
140	891	5429
141	896	5417
142	901	5401
143	907	5393
